FreeCAD 0.17, Libs: 0.17RUnknown
         16482684 function calls (14940014 primitive calls) in 6.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.002    0.002 __init__.py:44(<module>)
      474    0.001    0.000    0.002    0.000 copy.py:234(_deepcopy_tuple)
       49    0.001    0.000    0.139    0.003 polyhedron.py:32(__new__)
        1    0.001    0.001    0.001    0.001 vtkImagingHybrid.py:1(<module>)
     6713    0.001    0.000    0.001    0.000 ATNDeserializer.py:87(adjust)
        3    0.001    0.000    0.002    0.001 importstring.py:4(<module>)
      758    0.001    0.000    0.001    0.000 ATNState.py:103(__init__)
       82    0.001    0.000    0.012    0.000 __init__.py:1884(get_metadata)
        4    0.001    0.000    0.005    0.001 ATNDeserializer.py:113(readStates)
        1    0.001    0.001    0.014    0.014 ctx_fp.py:1(<module>)
        4    0.001    0.000    0.002    0.001 ATNDeserializer.py:86(reset)
      652    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
        1    0.001    0.001    0.001    0.001 rings.py:1(<module>)
        1    0.001    0.001    0.004    0.004 financial.py:12(<module>)
     3120    0.001    0.000    0.001    0.000 logic.py:197(__new__)
        1    0.001    0.001    0.004    0.004 random.py:40(<module>)
      533    0.001    0.000    0.013    0.000 compatibility.py:581(_nodes)
     4720    0.001    0.000    0.001    0.000 sre_parse.py:138(__len__)
       93    0.001    0.000    0.002    0.000 cache.py:87(func_wrapper)
        2    0.001    0.000    0.009    0.005 __init__.py:14(<module>)
        1    0.001    0.001    0.003    0.003 controls.py:3(<module>)
     1529    0.001    0.000    0.002    0.000 permutations.py:951(_af_new)
        1    0.001    0.001    0.004    0.004 PyColorize.py:30(<module>)
      218    0.001    0.000    0.024    0.000 function.py:159(__init__)
  250/248    0.001    0.000    0.045    0.000 sre_parse.py:725(parse)
        1    0.001    0.001    0.221    0.221 add.py:78(flatten)
     7987    0.001    0.000    0.001    0.000 {method 'release' of 'thread.lock' objects}
        1    0.001    0.001    0.002    0.002 numerictypes.py:81(<module>)
        1    0.001    0.001    0.010    0.010 basic.py:2(<module>)
      248    0.001    0.000    0.073    0.000 sre_compile.py:567(compile)
       52    0.001    0.000    0.002    0.000 compatibility.py:189(with_metaclass)
        1    0.001    0.001    0.030    0.030 ipapp.py:6(<module>)
     2000    0.001    0.000    0.004    0.000 containers.py:105(__hash__)
        2    0.001    0.000    0.012    0.006 decorator.py:33(<module>)
        1    0.001    0.001    0.001    0.001 generate.py:4(<module>)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
        1    0.001    0.001    0.005    0.005 ast.py:123(<module>)
     3590    0.001    0.000    0.001    0.000 sre_parse.py:150(append)
      968    0.001    0.000    0.001    0.000 __init__.py:2628(key)
     6632    0.001    0.000    0.001    0.000 basic.py:725(args)
        1    0.001    0.001    0.001    0.001 scandir.py:17(<module>)
        1    0.001    0.001    0.001    0.001 backend.py:1(<module>)
        8    0.001    0.000    0.002    0.000 utils.py:1(<module>)
        1    0.001    0.001    0.003    0.003 defmatrix.py:1(<module>)
        1    0.001    0.001    0.002    0.002 lexer.py:10(<module>)
        1    0.001    0.001    0.002    0.002 iterative.py:1(<module>)
     4130    0.001    0.000    0.006    0.000 conflict.py:43(edge)
      783    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     4218    0.001    0.000    0.001    0.000 permutations.py:981(array_form)
  474/158    0.001    0.000    0.010    0.000 copy.py:253(_deepcopy_dict)
      987    0.001    0.000    0.001    0.000 sre_compile.py:428(_simple)
        1    0.001    0.001    0.003    0.003 dag.py:20(<module>)
     4944    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      102    0.001    0.000    0.006    0.000 permutations.py:829(__new__)
3109/3066    0.001    0.000    0.001    0.000 logic.py:208(__eq__)
        1    0.001    0.001    0.003    0.003 Errors.py:5(<module>)
        1    0.001    0.001    0.005    0.005 magic_arguments.py:45(<module>)
      480    0.001    0.000    0.002    0.000 __init__.py:1483(_validate_resource_path)
        1    0.001    0.001    0.014    0.014 numberfields.py:1(<module>)
        1    0.001    0.001    0.001    0.001 lil.py:2(<module>)
        1    0.001    0.001    0.006    0.006 application.py:2(<module>)
        1    0.001    0.001    0.002    0.002 urllib2.py:76(<module>)
        1    0.001    0.001    0.002    0.002 shortcuts.py:21(<module>)
        3    0.001    0.000    0.003    0.001 base.py:1(<module>)
        1    0.001    0.001    0.220    0.220 tensor.py:30(<module>)
        2    0.001    0.000    0.001    0.001 py3compat.py:2(<module>)
        1    0.001    0.001    0.018    0.018 _spherical_voronoi.py:6(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
